id;name;description;age;dob;tier
1;truly efface wide-eyed;mount;20700;2025-09-08T04:30:34;LEAD
2;tense what;yearly;14655;2025-09-08T12:00:45;GOLD
3;oddball whose unto;brown fairly;27872;2025-09-08T15:20:27;LEAD
4;really;weakly criminal;27250;2025-09-08T12:15:11;IRON
5;convection wee;splendid;11876;2025-09-08T00:51:27;LEAD
6;gleaming;disrespect amnesty quarrelsomely;19970;2025-09-08T05:00:36;LEAD
7;oh ick before;slowly for failing;637;2025-09-07T19:10:24;IRON
8;whose;louse deed federate;24792;2025-09-08T11:42:04;PLATINUM
9;er;formula;27814;2025-09-08T09:01:31;PLATINUM
10;yippee;subdued um;13969;2025-09-07T22:26:06;PLATINUM
